1419.840,3.50
1419.848,4.00
1419.856,6.00
1419.863,10.50
1419.871,18.90
1419.879,32.10
1419.887,51.00
1419.895,68.20
1419.902,97.00
1419.910,96.90
1419.918,96.20
1419.926,96.70
1419.934,96.60
1419.942,97.00
1419.949,97.10
1419.957,96.80
1419.965,97.00
1419.973,96.80
1419.981,96.90
1419.988,96.80
1419.996,97.50
1420.004,97.70
1420.012,97.90
1420.020,97.40
1420.027,97.60
1420.035,97.20
1420.043,97.50
1420.051,97.50
1420.059,97.30
1420.067,97.70
1420.074,97.40
1420.082,97.60
1420.090,97.60
1420.098,98.00
1420.106,97.60
1420.113,97.90
1420.121,97.60
1420.129,97.60
1420.137,98.20
1420.145,98.00
1420.152,97.80
1420.160,97.90
1420.168,97.90
1420.176,98.20
1420.184,97.90
1420.192,97.90
1420.199,97.90
1420.207,98.10
1420.215,98.00
1420.223,97.90
1420.231,98.30
1420.238,98.20
1420.246,98.00
1420.254,98.30
1420.262,98.10
1420.270,98.10
1420.277,98.30
1420.285,98.00
1420.293,98.40
1420.301,98.00
1420.309,98.50
1420.317,98.30
1420.324,98.60
1420.332,98.50
1420.340,98.60
1420.348,98.30
1420.356,98.70
1420.363,98.90
1420.371,99.10
1420.379,99.10
1420.387,99.20
1420.395,99.20
1420.402,99.50
1420.410,100.30
1420.418,101.00
1420.426,102.30
1420.434,103.80
1420.442,105.60
1420.449,107.70
1420.457,109.00
1420.465,110.10
1420.473,110.60
1420.481,110.90
1420.488,111.20
1420.496,111.00
1420.504,111.00
1420.512,110.90
1420.520,110.30
1420.527,109.20
1420.535,107.50
1420.543,106.70
1420.551,105.80
1420.559,105.00
1420.567,104.10
1420.574,103.50
1420.582,103.20
1420.590,103.50
1420.598,103.60
1420.606,103.80
1420.613,103.90
1420.621,104.80
1420.629,105.10
1420.637,105.70
1420.645,105.70
1420.652,106.40
1420.660,107.10
1420.668,107.40
1420.676,107.10
1420.684,107.50
1420.692,108.00
1420.699,108.80
1420.707,109.10
1420.715,110.10
1420.723,110.50
1420.731,110.50
1420.738,110.50
1420.746,110.30
1420.754,109.80
1420.762,109.50
1420.770,108.80
1420.777,108.30
1420.785,107.70
1420.793,106.90
1420.801,106.50
1420.809,105.70
1420.817,104.40
1420.824,103.80
1420.832,103.40
1420.840,103.30
1420.848,102.90
1420.856,102.80
1420.863,103.20
1420.871,102.50
1420.879,102.90
1420.887,102.50
1420.895,102.40
1420.902,102.50
1420.910,102.60
1420.918,102.10
1420.926,102.00
1420.934,102.50
1420.942,69.70
1420.949,50.00
1420.957,31.60
1420.965,17.20
1420.973,8.00
1420.981,3.00
1420.988,1.00
